user_id,transaction_id,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,acct_num,profile,trans_num,trans_date,trans_time,unix_time,category,amt,is_fraud,merchant,merch_lat,merch_long,customer_num_trans_1_day,customer_num_trans_7_day,customer_num_trans_30_day,trans_time_secs,trans_time_hrs,trans_time_is_night,trans_time_day,trans_date_is_weekend,customer_avg_amout_1_day,customer_avg_amount_7_day,customer_avg_amount_30_day,merchant_num_trans_1_day,merchant_num_trans_7_day,merchant_num_trans_30_day,merchant_risk_1_day,merchant_risk_7_day,merchant_risk_30_day,merchant_risk_90_day
024-79-2449,30417925130692,Felicia,Gomez,F,486 Benson Stravenue,Rockford,IL,61107,42.2786,-89.0361,189162,"Accountant, chartered management",1995-09-17,897773007614,adults_2550_female_urban.json,1a91d07261b8e16242126081f37087f2,2023-01-28,13:02:02,1674907322,home,615.41,0,fraud_Champlin and Sons,42.13534,-89.171111,2,3,12,6762,22,1,5,1,4.01,18.27,6.97,4824.23,73065.81,141799.95,4,13,20,14
269-54-1394,4224979584238239,Jeffrey,Mathews,M,5430 Leslie Flat Suite 854,Ceres,CA,95307,37.5833,-120.9496,42753,Medical secretary,1957-10-05,106860578179,adults_50up_male_urban.json,e85e0881922637f40a3601f1d9650554,2022-07-09,04:29:11,1657337351,grocery_pos,61.56,0,fraud_Doyle Ltd,36.664667,-120.679995,4,9,17,56775,23,1,5,1,88.83,77.27,8.06,3243.55,51496.77,1093950.5,3,10,11,28
527-16-1817,4056555304074394,Christina,Ellis,F,75933 Harvey Via Apt. 423,Buffalo,NY,14224,42.8371,-78.7484,564824,"Surveyor, insurance",1989-08-12,276164985905,adults_2550_female_urban.json,bba131a81aa5fa3d38970c1e4bf95b5e,2022-07-12,11:02:17,1657620137,misc_net,58.63,0,fraud_Schmitt Ltd,42.005869,-79.21068,0,1,7,26350,16,0,1,0,66.96,67.47,43.41,4242.22,26384.49,1005859.33,6,14,23,48
314-98-4472,6011544296258081,Steven,Murphy,M,268 Anderson Valley Apt. 958,Mansfield Center,CT,6250,41.7698,-72.2011,4821,"Administrator, sports",1960-04-04,120886651581,adults_50up_male_urban.json,7bd0d965cd408600df215604b555b9a2,2022-06-19,05:17:43,1655612263,grocery_pos,67.88,0,fraud_Doyle Ltd,41.619398,-72.73701,0,5,13,49334,20,0,6,1,15.32,58.22,52.05,4303.16,3476.36,226662.34,3,11,14,14
390-83-9961,374917808855764,Cynthia,Martinez,F,53164 Deborah Square Apt. 739,Anaheim,CA,92804,33.8186,-117.9729,354475,"Engineer, water",1977-02-23,790504829788,adults_2550_female_urban.json,f160dd77d3916b44d5c7a8840670e0cc,2022-05-31,02:03:53,1653959033,grocery_net,39.73,0,fraud_Hills-Olson,33.937114,-117.32468,0,0,6,18342,8,0,1,0,28.81,44.64,24.65,2424.13,32215.14,36989.6,2,13,16,20
766-87-5337,4531363631797,John,Zamora,M,97265 Stephen Fields,Gainesville,GA,30507,34.2592,-83.7716,120577,Mechanical engineer,1979-10-05,300542724083,adults_2550_male_urban.json,9f2974bfbf80e2418aa3489b119e7993,2022-12-12,23:27:45,1670884065,food_dining,54.36,0,fraud_Runte-Mohr,34.129125,-84.259813,5,7,15,51973,11,0,0,0,89.46,85.38,9.66,1204.96,79744.8,844662.05,2,7,17,18
015-24-1436,4554734552853364,Kevin,Boone,M,418 Alvarez Alley,Euclid,OH,44123,41.6025,-81.5258,41932,Paramedic,1972-11-09,225103825178,adults_50up_male_urban.json,292849c1b366286dd1f8212f423a916e,2022-10-11,09:24:15,1665476655,shopping_pos,94.14,0,fraud_Friesen Inc,42.477279,-80.911902,6,9,17,33589,11,0,1,0,65.62,83.47,67.64,1573.32,16081.04,187107.19,7,8,11,30
375-02-7924,3531933654182884,Michael,Gould,M,0826 Johnson Union,Holts Summit,MO,65043,38.6328,-92.1163,9452,Advertising art director,1996-07-26,853487512694,adults_2550_male_urban.json,7f5dc7e1754f798d68ebd2b2f7072fc7,2022-05-30,10:12:16,1653901936,gas_transport,74.69,0,"fraud_Tillman, Dickinson and Labadie",37.717042,-91.451445,5,5,15,3960,2,1,0,0,36.11,84.13,45.29,1036.31,3695.38,210730.27,7,9,17,35
278-94-2216,4491760015749616590,Tyler,Frost,M,884 Alison Roads,Oakdale,CT,6370,41.4706,-72.1904,7429,"Designer, fashion/clothing",1975-02-05,908869396921,adults_2550_male_urban.json,538960114f308662c0c6fdfa61ad651b,2022-05-14,03:14:19,1652494459,gas_transport,9.46,0,"fraud_Eichmann, Bogan and Rodriguez",41.743804,-71.460709,4,6,15,73774,5,0,5,1,46.36,52.67,39.58,3313.88,81018.13,139354.59,1,3,13,31
269-54-1394,4379718520707,Peter,Hamilton,M,023 Roberts Lane Apt. 510,Houston,TX,77082,29.7223,-95.6285,2906700,Podiatrist,1975-12-02,32639248204,adults_2550_male_urban.json,b8d236f7d3921eefd9ba856f878dac27,2022-07-13,01:47:48,1657673268,grocery_pos,49.77,0,"fraud_Casper, Hand and Zulauf",29.147317,-96.400208,4,4,10,62374,13,0,2,0,57.44,77.14,32.53,3212.26,66412.08,872204.71,2,8,12,13
305-50-1695,3524659351109735,Tracy,Graves,F,593 Thomas Walk Apt. 813,Lucedale,MS,39452,30.8668,-88.649,26964,"Therapist, occupational",1969-05-02,384254686585,adults_50up_female_urban.json,e0b18401dabfc7c9551b6717f3ccd676,2022-12-09,21:25:16,1670617516,food_dining,86.33,0,fraud_McKenzie-Huels,31.695951,-88.746297,2,2,9,18423,9,0,4,0,18.88,11.11,9.73,1845.67,75876.43,447331.41,6,7,11,28
